ensg,symbol,HVG_rank,HVG_normrank,HVG_normscore,DE_Immune_rank,DE_Immune_normrank,DE_Immune_normscore,DE_Malignant_rank,DE_Malignant_normrank,DE_Malignant_normscore,SpaPROS_rank,SpaPROS_normrank,SpaPROS_normscore,scGeneFit_rank,scGeneFit_normrank,scGeneFit_normscore,RF_celltype_rank,RF_celltype_normrank,RF_celltype_normscore,RF_malignant_rank,RF_malignant_normrank,RF_malignant_normscore,n_methods,mean_normrank,mean_normscore,aggregate_score
ENSG00000164548,ENSG00000164548,,,,,,,6786.0,0.4156403410558953,0.06998594085661965,,,,,,,,,,,,,1,0.4156403410558953,0.06998594085661965,2.485626281912515
ENSG00000113300,ENSG00000113300,,,,,,,6788.0,0.4154680906037378,0.06995168591161098,,,,,,,,,,,,,1,0.4154680906037378,0.06995168591161098,2.4854197765153487
ENSG00000131931,ENSG00000131931,,,,,,,6789.0,0.41538196537765915,0.0699361088879146,,,,,,,,,,,,,1,0.41538196537765915,0.0699361088879146,2.4853180742655736
ENSG00000112159,ENSG00000112159,,,,,,,6791.0,0.4152097149255016,0.06987230474603369,,,,,,,,,,,,,1,0.4152097149255016,0.06987230474603369,2.4850820196715357
ENSG00000111752,ENSG00000111752,,,,,,,6792.0,0.415123589699423,0.06985532234476284,,,,,,,,,,,,,1,0.415123589699423,0.06985532234476284,2.484978912044186
ENSG00000153029,ENSG00000153029,,,,2484.0,0.4556018417013813,0.029333657824865658,,,,,,,,,,,,,,,,1,0.4556018417013813,0.029333657824865658,2.4849354995262467
ENSG00000160336,ENSG00000160336,,,,,,,6793.0,0.4150374644733442,0.06974483246655326,,,,,,,,,,,,,1,0.4150374644733442,0.06974483246655326,2.484782296939897
ENSG00000186866,ENSG00000186866,,,,,,,6794.0,0.41495133924726557,0.069701002820134,,,,,,,,,,,,,1,0.41495133924726557,0.069701002820134,2.4846523420674
ENSG00000168936,ENSG00000168936,,,,,,,6796.0,0.41477908879510805,0.06968363960687522,,,,,,,,,,,,,1,0.41477908879510805,0.06968363960687522,2.4844627284019833
ENSG00000166928,ENSG00000166928,,,,2487.0,0.45494409120806845,0.02932399906878624,,,,,,,,,,,,,,,,1,0.45494409120806845,0.02932399906878624,2.4842680902768546
ENSG00000169217,ENSG00000169217,,,,,,,6798.0,0.41460683834295065,0.06960707826339897,,,,,,,,,,,,,1,0.41460683834295065,0.06960707826339897,2.4842139166063495
ENSG00000110074,ENSG00000110074,,,,,,,6799.0,0.4145207131168719,0.06957349427284519,,,,,,,,,,,,,1,0.4145207131168719,0.06957349427284519,2.4840942073897168
ENSG00000148606,ENSG00000148606,,,,,,,6801.0,0.4143484626647145,0.06953134201256321,,,,,,,,,,,,,1,0.4143484626647145,0.06953134201256321,2.4838798046772776
ENSG00000246898,ENSG00000246898,,,,,,,6802.0,0.41426233743863583,0.06951724290205803,,,,,,,,,,,,,1,0.41426233743863583,0.06951724290205803,2.483779580340694
ENSG00000164338,ENSG00000164338,,,,,,,6803.0,0.41417621221255707,0.06951034295151501,,,,,,,,,,,,,1,0.41417621221255707,0.06951034295151501,2.483686555164072
ENSG00000139083,ENSG00000139083,,,,2611.0,0.4277570708178031,0.05588781661290708,,,,,,,,,,,,,,,,1,0.4277570708178031,0.05588781661290708,2.4836448874307098
