gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000115828,4881.0,11.665968,33.408134,1,4879.833403229713,ENSG00000115828
ENSG00000171224,4882.0,11.664285,3.6869056,1,4880.83357155323,ENSG00000171224
ENSG00000118298,4883.0,11.663272,14.2790165,1,4881.833672761917,ENSG00000118298
ENSG00000133131,4884.0,11.6629095,5.5136285,1,4882.833709001541,ENSG00000133131
ENSG00000181045,4885.0,11.660623,3.933096,1,4883.833937764168,ENSG00000181045
ENSG00000166452,4886.0,11.660449,3.9760473,1,4884.833955049515,ENSG00000166452
ENSG00000187713,4887.0,11.655677,2.5917492,1,4885.83443236351,ENSG00000187713
ENSG00000169255,4888.0,11.653918,4.6841664,1,4886.834608197212,ENSG00000169255
ENSG00000158258,4889.0,11.651034,5.673543,1,4887.834896564484,ENSG00000158258
ENSG00000177879,4890.0,11.650615,6.788866,1,4888.834938526154,ENSG00000177879
ENSG00000198598,4891.0,11.6480055,8.762467,1,4889.835199475288,ENSG00000198598
ENSG00000120053,4892.0,11.64653,3.4448624,1,4890.83534693718,ENSG00000120053
ENSG00000101246,4893.0,11.64198,3.0355887,1,4891.835801959038,ENSG00000101246
ENSG00000089154,4894.0,11.641133,2.52416,1,4892.835886716843,ENSG00000089154
ENSG00000102931,4895.0,11.636918,5.341999,1,4893.8363082408905,ENSG00000102931
ENSG00000135540,4896.0,11.635442,6.5631814,1,4894.836455821991,ENSG00000135540
ENSG00000267673,4897.0,11.632085,5.8801045,1,4895.83679151535,ENSG00000267673
ENSG00000206560,4898.0,11.630466,6.673357,1,4896.836953401566,ENSG00000206560
ENSG00000196235,4899.0,11.629302,3.8653977,1,4897.837069749832,ENSG00000196235
ENSG00000177666,4900.0,11.628933,1.8948001,1,4898.837106704712,ENSG00000177666
ENSG00000158828,4901.0,11.626836,3.1201568,1,4899.837316393852,ENSG00000158828
ENSG00000143971,4902.0,11.622333,2.606032,1,4900.837766766548,ENSG00000143971
ENSG00000175220,4903.0,11.622328,2.1652977,1,4901.837767243385,ENSG00000175220
ENSG00000083838,4904.0,11.620776,5.833441,1,4902.837922334671,ENSG00000083838
ENSG00000172845,4905.0,11.620163,1.8599404,1,4903.837983727455,ENSG00000172845
ENSG00000058085,4906.0,11.619078,4.9088397,1,4904.838092207909,ENSG00000058085
ENSG00000092096,4907.0,11.618783,2.9511623,1,4905.838121652603,ENSG00000092096
ENSG00000073536,4908.0,11.616347,3.9281044,1,4906.838365316391,ENSG00000073536
ENSG00000146909,4909.0,11.615766,3.174684,1,4907.838423490524,ENSG00000146909
