gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000158615,266.3333333333333,8.108436,11.219184,3,265.5224897464116,ENSG00000158615
ENSG00000071242,269.6666666666667,10.404242,3.4353654,3,268.62624255816144,ENSG00000071242
ENSG00000123384,273.3333333333333,27.601852,18.82871,3,270.5731480916341,ENSG00000123384
ENSG00000082397,272.3333333333333,8.62422,15.094109,3,271.4709113438924,ENSG00000082397
ENSG00000128283,274.0,17.979136,2.2946703,3,272.20208644866943,ENSG00000128283
ENSG00000107036,273.6666666666667,4.929174,2.4232137,3,273.1737492779891,ENSG00000107036
ENSG00000143819,278.0,20.35301,2.5159576,3,275.9646990299225,ENSG00000143819
ENSG00000102393,278.3333333333333,11.136475,71.097145,3,277.2196858723958,ENSG00000102393
ENSG00000116701,279.3333333333333,17.839943,32.41091,3,277.54933901627857,ENSG00000116701
ENSG00000127666,278.3333333333333,5.939848,2.4509735,3,277.73934855063754,ENSG00000127666
ENSG00000149131,283.0,33.114414,52.232403,3,279.6885585784912,SERPING1
ENSG00000213949,282.0,15.277402,2.1021612,3,280.4722597599029,ENSG00000213949
